date,adherence,steps,active_minutes,weight_kg,rhr_bpm,hrv_ms,sleep_hours,sleep_quality,stress_score,soreness,caloric_balance_kcal
2025-02-10,0.702,7526,45,81.85,73,25.1,6.42,3,3,1,-323
2025-02-11,0.72,7670,38,81.86,74,25,7.06,4,3,2,-273
2025-02-12,0.296,5579,15,81.91,75,25,5.43,3,3,3,109
2025-02-13,0.471,7369,20,81.86,75,25,6.5,3,4,0,-167
2025-02-14,0.376,6572,21,81.89,75,25,6.36,4,5,1,-82
2025-02-15,0.424,5993,34,81.92,75,25,5.64,3,4,1,-295
2025-02-16,0.63,7972,36,81.93,75,25,5.39,2,4,1,-278
2025-02-17,0.775,7826,44,81.9,75,25.8,6.61,3,2,1,-313
2025-02-18,0.754,8837,51,81.89,74,27.6,6.54,3,4,1,-275
2025-02-19,0.703,7690,43,81.88,74,27.1,6.55,3,4,1,-242
2025-02-20,0.788,9246,41,81.82,74,25,7.71,4,4,1,-305
2025-02-21,0.785,8472,53,81.77,74,25.7,5.99,2,3,2,-266
2025-02-22,0.805,8837,44,81.79,73,25,6.32,3,4,0,-197
2025-02-23,0.698,8668,39,81.79,73,25,5.94,3,4,1,-166
2025-02-24,0.744,8712,41,81.74,73,25,5.93,3,3,1,-209
2025-02-25,0.772,9554,44,81.72,72,25.5,5.63,2,4,2,-68
2025-02-26,0.627,7604,31,81.72,75,25,5.46,3,4,0,-361
2025-02-27,0.567,6985,35,81.74,75,25,6.24,3,3,1,-269
2025-02-28,0.602,7276,25,81.78,75,25,5.5,3,4,0,-227
2025-03-01,0.443,6414,27,81.8,75,25,4.95,2,4,1,-58
2025-03-02,0.523,6448,29,81.74,75,25,6.49,3,4,1,-74
2025-03-03,0.752,7917,43,81.76,75,25.9,6.16,3,3,2,-207
2025-03-04,0.725,7470,37,81.68,74,27.4,6.89,4,2,2,-190
2025-03-05,0.712,7725,41,81.65,73,25,6.43,3,3,1,-124
2025-03-06,0.808,8065,51,81.66,74,31.1,6.2,3,4,1,-261
2025-03-07,0.668,7995,34,81.63,74,29.5,6.96,4,3,0,-175
2025-03-08,0.73,8579,37,81.61,75,30.9,6.4,3,3,3,-319
2025-03-09,0.794,8751,51,81.59,74,29.6,7.22,3,4,1,-324
2025-03-10,0.75,9465,46,81.54,75,28.7,6.87,3,3,0,-367
2025-03-11,0.716,7602,39,81.57,74,27.6,6.5,3,3,0,-255
2025-03-12,0.404,5899,20,81.56,75,25,5.1,3,3,0,-189
2025-03-13,0.278,5790,19,81.56,75,25,6.21,3,5,1,-31
2025-03-14,0.627,7697,47,81.62,75,25,5.47,4,4,0,-55
2025-03-15,0.471,7347,17,81.65,75,25,5.95,3,4,0,-134
2025-03-16,0.677,8993,38,81.7,75,25,6.39,3,4,0,-347
2025-03-17,0.271,5115,16,81.77,75,25,5.9,3,3,2,42
2025-03-18,0.459,6993,30,81.82,75,25,5.31,2,3,2,-210
2025-03-19,0.786,9018,43,81.81,75,27.8,7.02,4,4,2,-183
2025-03-20,0.838,9110,50,81.73,75,27.1,6.85,3,3,0,-278
2025-03-21,0.748,8628,44,81.72,74,28.8,6.67,2,2,1,-118
2025-03-22,0.641,7910,40,81.65,75,26.7,6.57,3,3,1,-285
2025-03-23,0.74,8256,42,81.66,75,28.5,6.27,2,3,0,-197
2025-03-24,0.7,8351,46,81.64,75,31.2,6.74,3,3,2,-227
2025-03-25,0.797,9021,41,81.57,75,28.8,6.06,3,3,1,-323
2025-03-26,0.366,6064,18,81.6,75,25,6.32,3,4,3,-188
2025-03-27,0.51,6515,25,81.65,75,25,6.67,3,4,2,-185
2025-03-28,0.344,6617,28,81.67,75,25,6.02,2,4,1,-273
2025-03-29,0.609,7555,43,81.73,75,25,5.46,3,4,1,-214
2025-03-30,0.595,7533,34,81.72,75,25,6.19,3,4,2,-240
2025-03-31,0.3,5894,16,81.76,75,25,6.69,3,3,0,-132
2025-04-01,0.805,7854,56,81.72,75,26.3,6.91,3,4,0,-189
2025-04-02,0.802,7727,47,81.7,74,25,6.12,3,3,0,-200
2025-04-03,0.733,8136,44,81.65,73,26.8,6.04,3,2,2,-278
2025-04-04,0.697,8292,43,81.66,74,28.2,6.18,3,3,1,-249
2025-04-05,0.839,9494,54,81.58,75,27.2,6.06,2,3,2,-456
2025-04-06,0.714,8001,43,81.55,75,29.3,6.67,3,3,0,-275
2025-04-07,0.694,8387,44,81.52,75,31.8,6.82,3,4,0,-309
2025-04-08,0.792,8582,55,81.51,75,31.2,6.02,2,3,0,-179
2025-04-09,0.548,7708,36,81.52,75,25.1,5.68,3,3,2,-308
2025-04-10,0.558,7497,36,81.57,75,25,5.24,3,4,1,-29
2025-04-11,0.453,6452,25,81.59,75,25,5.75,3,3,1,-96
2025-04-12,0.464,6363,26,81.62,75,25,4.85,2,3,3,-218
2025-04-13,0.459,6492,27,81.65,75,25,6.14,3,4,1,-203
2025-04-14,0.734,8500,49,81.62,75,25.8,6.45,3,4,2,-123
2025-04-15,0.789,8117,48,81.59,75,27.2,6.29,3,4,2,-116
2025-04-16,0.768,8931,40,81.57,75,25.0,6.43,2,3,2,-130
2025-04-17,0.833,9695,49,81.55,75,25,6.46,3,3,1,-190
2025-04-18,0.732,8575,43,81.53,75,25,6.03,3,4,1,-359
2025-04-19,0.838,9115,45,81.45,74,26.8,7.04,3,2,1,-225
2025-04-20,0.827,8726,42,81.42,75,28.0,6.55,3,3,1,-184
2025-04-21,0.6,7457,32,81.39,75,25.2,6.42,3,3,1,-376
2025-04-22,0.827,8919,39,81.36,75,25,5.68,3,2,1,-426
2025-04-23,0.376,5696,18,81.38,75,25,5.86,3,4,0,-44
2025-04-24,0.566,8602,32,81.44,75,25,5.72,2,4,0,-84
2025-04-25,0.267,5969,9,81.44,75,25,5.44,3,4,0,-135
2025-04-26,0.475,6360,32,81.46,75,25,5.84,3,4,1,-193
2025-04-27,0.364,6583,24,81.53,75,25,5.54,3,4,2,-236
2025-04-28,0.243,6023,21,81.58,75,25,5.62,3,4,0,0
2025-04-29,0.759,8376,52,81.55,75,27.1,6.4,2,3,2,-348
2025-04-30,0.739,8575,43,81.58,75,25,6.66,3,3,2,-356
2025-05-01,0.75,9208,42,81.57,75,25,6.44,3,4,2,-17
2025-05-02,0.683,8451,35,81.51,74,26.4,6.54,3,4,1,-304
2025-05-03,0.68,8087,37,81.51,74,25.1,7.47,3,3,1,-166
2025-05-04,0.753,8180,42,81.51,74,27.1,6.37,2,4,0,-314
2025-05-05,0.746,8850,48,81.47,75,25.8,6.69,3,3,2,-267
2025-05-06,0.828,8368,49,81.43,75,26.3,6.16,3,4,1,-180
2025-05-07,0.197,5212,8,81.45,75,25,5.36,3,4,1,-227
2025-05-08,0.286,4865,16,81.46,75,25,6.46,3,5,3,-60
2025-05-09,0.585,7508,38,81.53,75,25,6.04,2,4,0,-53
2025-05-10,0.558,6578,31,81.51,75,25,6.0,2,3,0,-120
2025-05-11,0.468,5959,21,81.53,75,25,5.41,3,5,1,-187
2025-05-12,0.742,8898,50,81.51,75,26.7,5.92,3,4,0,-172
2025-05-13,0.718,7788,41,81.45,74,25.7,6.73,3,3,1,-373
2025-05-14,0.729,8388,50,81.4,72,29.5,6.67,4,3,3,-243
2025-05-15,0.761,8183,51,81.37,73,29.3,6.92,2,4,3,-279
2025-05-16,0.705,8207,48,81.32,73,32.3,6.65,4,4,1,-310
2025-05-17,0.68,7942,45,81.32,73,36.1,6.63,3,3,2,-199
2025-05-18,0.709,7925,43,81.28,72,31.4,6.84,3,2,0,-323
2025-05-19,0.777,8498,48,81.32,72,31.6,6.33,4,2,0,-226
2025-05-20,0.745,8254,43,81.27,71,31.9,6.83,3,4,1,-42
2025-05-21,0.323,6129,15,81.34,72,26.7,5.99,3,3,1,-158
2025-05-22,0.247,5590,17,81.42,75,25,5.84,3,4,3,-125
2025-05-23,0.632,8078,32,81.42,75,25,5.82,3,4,3,-231
2025-05-24,0.321,5383,22,81.44,75,25,5.19,2,4,2,-67
2025-05-25,0.508,7288,23,81.5,75,25,5.91,3,5,2,-25
2025-05-26,0.549,7813,34,81.53,75,25,5.53,2,4,0,-76
2025-05-27,0.612,7618,29,81.59,75,25,5.99,3,4,2,-187
2025-05-28,0.803,8556,44,81.56,75,27.9,6.72,4,2,2,-219
2025-05-29,0.691,7974,43,81.55,74,28.3,6.23,3,3,1,-255
2025-05-30,0.647,8218,39,81.5,74,29.7,6.58,3,2,1,-200
2025-05-31,0.761,8438,41,81.46,74,31.5,6.49,3,2,0,-314
2025-06-01,0.808,8921,52,81.45,75,31.0,7.4,4,4,0,-347
2025-06-02,0.76,8131,43,81.41,73,33.2,6.61,3,4,1,-296
2025-06-03,0.717,8928,41,81.37,73,31.9,6.7,3,3,2,-189
2025-06-04,0.441,7391,18,81.36,75,33.0,5.42,3,3,0,-106
2025-06-05,0.611,8238,36,81.41,75,28.7,5.66,3,5,0,-273
2025-06-06,0.715,9108,33,81.42,75,25,5.69,2,4,1,-159
2025-06-07,0.275,4961,22,81.43,75,25,5.41,2,4,3,-155
2025-06-08,0.189,5214,4,81.42,75,25,5.82,3,4,0,-204
2025-06-09,0.528,6682,36,81.44,75,25,5.32,2,4,1,-35
2025-06-10,0.708,7445,44,81.41,75,25,6.4,3,3,0,-242
2025-06-11,0.787,7322,41,81.37,74,26.7,6.59,4,3,0,-233
2025-06-12,0.756,8562,48,81.34,74,28.0,6.91,3,3,1,-261
2025-06-13,0.848,8933,51,81.3,75,27.7,7.31,4,4,1,-175
2025-06-14,0.738,7939,46,81.27,74,30.9,6.61,3,4,2,-275
2025-06-15,0.744,7112,44,81.24,74,30.4,6.9,3,3,0,-126
2025-06-16,0.727,9911,38,81.17,73,30.2,6.52,3,3,1,-253
2025-06-17,0.73,8825,50,81.17,73,31.3,6.06,2,3,2,-252
2025-06-18,0.471,7329,23,81.19,75,27.1,5.85,3,4,1,-53
2025-06-19,0.655,7653,37,81.23,75,25,6.03,3,4,1,-297
2025-06-20,0.423,6352,28,81.28,75,25,5.74,2,5,1,-47
2025-06-21,0.596,7705,39,81.33,75,25,5.84,3,4,0,-174
2025-06-22,0.547,6940,30,81.37,75,25,5.06,2,4,1,-15
2025-06-23,0.332,5560,13,81.39,75,25,6.7,4,3,1,35
2025-06-24,0.231,5219,21,81.39,75,25,6.02,2,5,3,-84
2025-06-25,0.739,7828,43,81.34,75,25.4,6.04,3,3,1,-321
2025-06-26,0.791,9063,49,81.28,75,25,6.45,3,3,0,-218
2025-06-27,0.779,8498,50,81.33,75,26.2,6.57,3,3,0,-86
2025-06-28,0.784,9246,50,81.28,75,25,6.43,3,3,1,-225
2025-06-29,0.723,8241,40,81.28,74,25.4,6.51,2,3,1,-182
2025-06-30,0.79,8273,43,81.27,72,25,6.09,2,3,2,-351
2025-07-01,0.816,9126,50,81.25,72,25.9,6.75,3,3,2,-292
2025-07-02,0.249,4917,1,81.28,75,25,4.5,2,4,1,-64
2025-07-03,0.52,6357,31,81.33,75,25,6.04,2,4,1,-176
2025-07-04,0.456,6109,29,81.27,75,25,5.74,3,4,3,-95
2025-07-05,0.656,8485,39,81.25,75,25,6.0,2,5,2,-147
2025-07-06,0.622,7991,37,81.27,75,25,5.96,3,5,1,-265
2025-07-07,0.293,6007,6,81.26,75,25,5.64,3,4,0,-7
2025-07-08,0.703,8499,35,81.26,75,28.4,5.89,3,3,3,-248
2025-07-09,0.751,8420,37,81.26,75,30.0,5.93,3,3,1,-204
2025-07-10,0.771,8228,40,81.24,74,32.8,6.26,3,3,1,-217
2025-07-11,0.819,8899,49,81.27,74,35.7,6.76,3,3,1,-120
2025-07-12,0.75,8981,47,81.24,74,34.6,6.36,3,3,1,-79
2025-07-13,0.754,8635,52,81.22,72,37.0,7.12,3,4,0,-200
2025-07-14,0.71,9211,48,81.24,72,34.0,7.02,3,3,2,-116
2025-07-15,0.779,8477,44,81.17,70,37.4,5.98,3,3,2,-231
2025-07-16,0.589,7787,34,81.18,74,30.6,5.89,2,4,0,-357
2025-07-17,0.293,6766,21,81.21,75,25,5.33,3,3,1,203
2025-07-18,0.55,7865,33,81.24,75,25,4.62,2,4,2,-156
2025-07-19,0.257,6083,18,81.27,75,25,5.63,3,4,1,-174
2025-07-20,0.424,5778,26,81.31,75,25,5.84,2,4,0,25
2025-07-21,0.675,7184,39,81.25,75,25.7,6.46,3,4,3,-72
2025-07-22,0.747,8664,43,81.21,75,27.8,5.99,3,3,0,-223
2025-07-23,0.789,8674,43,81.2,75,26.1,6.38,3,3,0,-279
2025-07-24,0.645,7510,38,81.15,75,27.1,6.08,3,3,1,-153
2025-07-25,0.732,8863,30,81.16,75,27.2,6.64,3,3,1,-278
2025-07-26,0.711,8098,38,81.13,74,29.2,6.19,2,3,2,-10
2025-07-27,0.752,8561,49,81.07,75,30.9,6.94,2,3,1,-131
2025-07-28,0.732,8403,51,80.99,75,31.7,6.49,4,4,0,-238
2025-07-29,0.761,9187,52,80.98,75,29.1,6.96,3,2,3,-234
2025-07-30,0.433,6963,29,80.94,75,25.9,5.73,2,4,1,-108
2025-07-31,0.341,6465,26,81.0,75,25,5.55,3,4,1,-101
2025-08-01,0.5,7098,22,81.04,75,25,6.07,2,4,4,-135
2025-08-02,0.257,5204,13,81.05,75,25,5.74,3,4,1,78
2025-08-03,0.517,6686,30,81.13,75,25,5.72,3,4,2,48
2025-08-04,0.342,6426,22,81.08,75,25,6.19,4,3,1,-18
2025-08-05,0.35,5794,18,81.07,75,25,6.0,3,5,4,6
2025-08-06,0.75,8402,54,81.02,75,25,6.62,3,3,1,-197
2025-08-07,0.78,9279,49,80.98,75,29.1,5.92,3,3,2,-275
2025-08-08,0.742,8023,44,80.98,75,30.1,6.33,3,3,2,0
2025-08-09,0.727,7265,46,81.0,73,26.8,6.21,3,3,1,-409
2025-08-10,0.835,8827,51,80.96,74,31.5,6.43,3,4,3,-110
2025-08-11,0.71,7182,43,80.92,72,33.4,6.22,3,3,1,-261
2025-08-12,0.734,9700,43,80.87,73,35.9,7.03,3,4,1,-435
2025-08-13,0.311,7281,23,80.9,75,30.9,6.68,3,3,0,-67
2025-08-14,0.474,6699,15,80.9,75,25,5.17,2,4,1,-46
2025-08-15,0.588,7947,37,80.89,75,25,5.87,2,5,1,-202
2025-08-16,0.451,6933,25,80.94,75,25,6.02,3,4,0,-143
2025-08-17,0.477,7250,24,81.01,75,25,5.82,3,4,2,-70
2025-08-18,0.647,8408,42,81.05,75,25,6.2,3,4,1,-182
2025-08-19,0.715,8810,49,81.05,74,26.7,6.4,2,3,0,-153
2025-08-20,0.712,9218,47,81.01,74,25.4,6.39,2,4,0,-250
2025-08-21,0.883,9167,53,80.99,74,29.2,6.31,2,4,2,-267
2025-08-22,0.691,8598,43,80.93,72,28.9,6.22,3,3,2,-175
2025-08-23,0.726,8499,36,80.88,72,27.2,6.15,4,3,2,-169
2025-08-24,0.776,7974,47,80.86,72,28.8,6.81,3,3,2,-29
2025-08-25,0.844,8553,59,80.84,71,31.0,6.59,3,3,1,-296
2025-08-26,0.741,8629,40,80.77,73,28.2,6.0,3,3,2,-231
2025-08-27,0.421,6496,23,80.82,75,25,6.37,3,3,3,50
2025-08-28,0.33,6245,14,80.83,75,25,5.75,3,4,3,-7
2025-08-29,0.585,7128,32,80.84,75,25,5.87,4,4,1,-246
